sys_id,incident_id,short_description,description,assignment_group,category
1c741bd70b2322007518478d83673af3,INC0000060,Unable to connect to email,I am unable to connect to the email server. It appears to be down.,"{'link': 'https://dev303713.service-now.com/api/now/table/sys_user_group/287ebd7da9fe198100f92cc8d1d2154e', 'value': '287ebd7da9fe198100f92cc8d1d2154e'}",inquiry
1c832706732023002728660c4cf6a7b9,INC0009002,My computer is not detecting the headphone device,My computer is not detecting the headphone device. It could be an issue with the USB port.,,Hardware
46b66a40a9fe198101f243dfbc79033d,INC0000009,Reset my password,I can't remember my password and need to log in. Can someone reset my password asap? I am blocked on several urgent items until I can log in again.,"{'link': 'https://dev303713.service-now.com/api/now/table/sys_user_group/d625dccec0a8016700a222a0f7900d06', 'value': 'd625dccec0a8016700a222a0f7900d06'}",inquiry
46b9490da9fe1981003c938dab89bda3,INC0000010,Need Oracle 10GR2 installed,Currently running 10GR1 and need to upgrade to 10GR2.,"{'link': 'https://dev303713.service-now.com/api/now/table/sys_user_group/287ee6fea9fe198100ada7950d0b1b73', 'value': '287ee6fea9fe198100ada7950d0b1b73'}",database
46c03489a9fe19810148cd5b8cbf501e,INC0000011,Need new Blackberry set up,I'm replacing my old phone with a Blackberry and require assistance to get it set up. I'd like to get the files and contacts transferred to the new phone and need help getting the two factor authentication app set up on it.,"{'link': 'https://dev303713.service-now.com/api/now/table/sys_user_group/8a5055c9c61122780043563ef53438e3', 'value': '8a5055c9c61122780043563ef53438e3'}",inquiry
46c88ac1a9fe1981014de1c831fbcf6d,INC0000012,Customer didn't receive eFax,I tried sending a fax to a customer through the eFax online portal and also via email. My customer did not receive the fax in both instances. I don't know if this is an issue on our side with transmission or on my customer's side.,"{'link': 'https://dev303713.service-now.com/api/now/table/sys_user_group/287ee6fea9fe198100ada7950d0b1b73', 'value': '287ee6fea9fe198100ada7950d0b1b73'}",software
46cebb88a9fe198101aee93734f9768b,INC0000013,EMAIL is slow when an attachment is involved,"Noticing today that any time I send an email with an attachment, it takes at least 20 seconds to send. This happens regardless of the attachment size.","{'link': 'https://dev303713.service-now.com/api/now/table/sys_user_group/8a4dde73c6112278017a6a4baf547aa7', 'value': '8a4dde73c6112278017a6a4baf547aa7'}",inquiry
46e18c0fa9fe19810066a0083f76bd56,INC0000014,Missing my home directory,Logged in and didn't see my home directory. Logged out and back in again and it's still not appearing. I'm completely blocked until this is resolved.,,inquiry
46ee0924a9fe198100f1cf78c198454a,INC0000021,New employee hire,"We have a new hire starting on Monday. She will need to be set up with a desk, laptop, phone, email account, and systems access.",,inquiry
46ee8c2fa9fe198100623592c70d643e,INC0000024,Issue with a web page on wiki,The landing page for our internal wiki isn't loading. I've refreshed it multiple times and it keeps timing out.,"{'link': 'https://dev303713.service-now.com/api/now/table/sys_user_group/d625dccec0a8016700a222a0f7900d06', 'value': 'd625dccec0a8016700a222a0f7900d06'}",inquiry
